,Functional grp name,SMARTS,Smiles
1405,Pyrrole_O,"[#7]1([CH2,CH3])-,:[#6]([CH2,CH3])=,:[#6](C(=[OX1])[#6])-,:[#6]=,:[#6]1-cc",*C1=C(C(C)=O)C=C(cc)N1*
1406,Thiaz_ene_D,"c2ccccc2[#7][#6]1=,:[#7+,#7v4]-,:[#6](c3ccccc3)=,:[#6][#16]1",*1=C(Nc2ccccc2)SC=C1c1ccccc1
1407,Thiaz_ene_E,"C1(S[#6R])=C([C!H0]([#6])[#6])SC(N1([H,CH2,CH3]))=[OX1]",*N1C(=O)SC(C(C)C)=C1SC
1408,Quinone_B,"c1ccc4c(c1)[#6]7=,:[#6]8-,:[#6]([#6]4=[OX1])=,:[#6]-,:[#6]=,:[#6]-,:[#6]8=,:[#7]-,:[#8]7",O=C1C2=CC=CC3=NOC(=C23)c2ccccc21
1409,Quinone_C,[OX1]=C1c2ccccc2C3=C([OH1])C(=[OX1])Nc4cccc1c34,O=C1Nc2cccc3c2C(=C1[OH])c1ccccc1C3=O
1410,Quinone_D,"[!#1!#6]=[#6]1[#6]=,:[#6][#6]=,:[#6][#6]1=[!#1!#6]",*=C1C=CC=CC1=*
1411,Diazox_A,O(c2ccccc2)c3cc1nonc1cc3,c1ccc(Oc2ccc3nonc3c2)cc1
1412,Diazox_B,Clc2cc1nonc1cc2,Clc1ccc2nonc2c1
1413,Diazox_C,N2=Nc1n[a!c]nc1N=Ncc2,*1nc2c(n1)N=NccN=N2
1414,Diazox_D,[C!H0]1([OH1])c2n[a!c]nc2[C!H0]([OH1])C=C1,[OH]C1C=CC([OH])c2n*nc21
1415,Diazox_E,[NH2]c1c([NH2])[cH][cH]c2nonc12,[NH2]c1[cH][cH]c2nonc2c1[NH2]
1416,Diazox_sulfon_B,c3ccccc3N1[C!H0][C!H0]N([C!H0][C!H0]1)S(=[OX1])(=[OX1])c4c2nsnc2ccc4,O=S(=O)(c1cccc2nsnc12)N1CCN(c2ccccc2)CC1
1417,Sulfonamide_C,[cH]1c([N!H0]S(=[OX1])(=[OX1])c2ccc([!#1!#6])cc2)[cH]c3c(O[CH2]O3)[cH]1,*c1ccc(S(=O)(=O)Nc2[cH][cH]c3c([cH]2)O[CH2]O3)cc1
1418,Sulfonamide_D,c1c(ccc(c1)[N!H0]S(=[OX1])(=[OX1]))[N!H0]S(=[OX1])(=[OX1]),O=S(=O)Nc1ccc(NS(=O)=O)cc1
1419,Sulfonamide_E,cc[N!H0]S(=[OX1])(=[OX1])[N!H0]cc,ccNS(=O)(=O)Ncc
1420,Sulfonamide_F,"[OX1]=S(=[OX1])(cc)[N!H0][#6]1=,:[#7]-,:[#6](=,:[#6]-,:[#16]1)cc",ccC1=CSC(NS(=O)(=O)cc)=N1
1421,Sulfonamide_G,"[CH3]c5nc([N!H0]S(c2[cH][cH]c([cH][cH]2)O[CH2][CH2][CH2,CH3])(=[OX1])(=[OX1]))[cH][cH][cH]5",*[CH2][CH2]Oc1[cH][cH]c(S(=O)(=O)Nc2[cH][cH][cH]c([CH3])n2)[cH][cH]1
1422,Sulfonamide_H,c1([cH][cH]c([NH2])[cH][cH]1)S(=[OX1])(=[OX1])[N!H0]c2[cH][cH][cH]nn2,[NH2]c1[cH][cH]c(S(=O)(=O)Nc2[cH][cH][cH]nn2)[cH][cH]1
1423,Sulfonamide_I,"S(=[OX1])(=[OX1])(c1cn([CH2,CH3])cn1)[N!H0]c2cnn([CH2]ccO[CH2,CH3])c2",*Occ[CH2]n1cc(NS(=O)(=O)c2cn(*)cn2)cn1
1424,Sulfonamide_J,"[#7]1(c2c([N!H0]S(=[OX1])(=[OX1])c3sccc3)cccc2)-,:[#6!H0]=,:[#6!H0]-,:[#6!H0]=,:[#6!H0]1",O=S(=O)(Nc1ccccc1N1C=CC=C1)c1cccs1
1425,Imine_ene_A,cc[CH]=[CH][CH]=NN([CX4])[CX4],CN(C)N=[CH][CH]=[CH]cc
1426,Thiazol_SC_A,[#6][SX2]c1n[cH]cs1,CSc1n[cH]cs1
1427,Thiazole_amine_A,[N!H0]c1nc(c2cnc([NH2])s2)cs1,Nc1nc(c2cnc([NH2])s2)cs1
1428,Thiazole_amine_B,"c1(ccc([CH2,CH3])cc1)-c2nc([NH2])sc2[CH3]",*c1ccc(-c2nc([NH2])sc2[CH3])cc1
1429,Thiazole_amine_C,"c1([N!H0][CH2]c2[cH][cH][cH]o2)nc(aaa([$(O[CH2,CH3]),CH2,CH3])aa)[cH]s1",**(:*:*):*:*c1[cH]sc(N[CH2]c2[cH][cH][cH]o2)n1
1430,Thiazole_amine_D,"[#16]1-,:[#6]([N!H0]c2c([CH2,CH3,$(cc)])cccc2)=,:[#7+,#7v4]([CH2,CH3])-,:[#6]([#6])=,:[#6H]1",**1=C(Nc2ccccc2*)S[CH]=C1C
1431,Thiazole_amine_E,[OX1]=C[N!H0]c1c(-cc)nc([CH2]C#[NX1])s1,cc-c1nc([CH2]C#N)sc1NC=O
1432,Thiazole_amine_F,[#6!H0][#7!H0]c1nc(-C2=CN=C3N2C=CS3)cs1,CNc1nc(C2=CN=C3SC=CN23)cs1
1433,Thiazole_amine_G,"[#6]1=,:[#6]-,:[#16]-,:[#6](NNS(=[OX1])=[OX1])=,:[#7]1",O=S(=O)NNC1=NC=CS1
1434,Thiazole_amine_H,"c1ccc(C(=[OX1])[OH1])cc1[N!H0][#6]2=,:[#7]-,:[#6](=,:[#6!H0]-,:[#16]2)c3ccc([C!H0]([C!H0])[C!H0])cc3",CC(C)c1ccc(C2=CSC(Nc3cccc(C(=O)[OH])c3)=N2)cc1
1435,Thiazole_amine_J,"[OX1]=S(=[OX1])(cc)[N!H0][N!H0][#6]1=,:[#7]-,:[#6](=,:[#6]-,:[#16]1)cc",ccC1=CSC(NNS(=O)(=O)cc)=N1
1436,Thiazole_amine_K,"n1c2c(cc5c1-,:[#7]=,:[#6](-,:[#16]5)[#7])-,:[#16]-,:[#6](=,:[#7]2)[#7]",NC1=Nc2nc3c(cc2S1)SC(N)=N3
1437,Thiazole_amine_L,s1ccc(-c2csc([NH2])n2)[cH]1,[NH2]c1nc(-c2ccs[cH]2)cs1
1438,Thiazole_amine_M,"c1([N!H0]cc[CH2,CH3])nc(c2ccncc2)[cH]s1",*ccNc1nc(c2ccncc2)[cH]s1
1439,Thiazole_amine_N,"[CH2,CH3]Oc1[cH][cH]c(O[CH2,CH3])[cH]c1[N!H0]c2scc(-c3ccc(O[CH2,CH3])cc3)n2",*Oc1ccc(-c2csc(Nc3[cH]c(O*)[cH][cH]c3O*)n2)cc1
1440,Furan_acid_A,"c1(oc([CH2,CH3])c([CH2]Occ)[cH]1)[CX3](=[OX1])[OH1]",*c1oc(C(=O)[OH])[cH]c1[CH2]Occ
1441,Furan_A,"c1(oc([CH2,CH3])[cH][cH]1)[C!H0]([OH1])C#C[CX4]",*c1[cH][cH]c(C([OH])C#CC)o1
1442,Colchicine_A,"[#6]1(-,:[#6](=,:[#6]-,:[#6]=,:[#6]-,:[#6]=,:[#6]1)[N!H0])=NC",CN=C1C=CC=CC=C1N
1443,Colchicine_B,"[CH2,CH3]Sc1ccc(cc1)C2=CC(=[OX1])[#6]3=,:[#6]-,:[#8]-,:[#6]=,:[#6]3C([OH1])=C2",*Sc1ccc(C2=CC(=O)C3=COC=C3C([OH])=C2)cc1
1444,Colchicine_het,"c1cccc3-,:[#7]([CH2,CH3])-,:[#6](=NN=[#6]2-,:[#6]=,:[#6]-,:[#6]=,:[#6]-,:[#6]=,:[#6]2)-,:[#16]-,:c13",*N1C(=NN=C2C=CC=CC=C2)Sc2ccccc21
1445,Rhod_sat_B,"N1(c2c([CH2,CH3])cccc2)C(=S)N([CH2]aaaaa)[CH2]C1=[OX1]",*c1ccccc1N1C(=O)[CH2]N([CH2]*:*:*:*:*)C1=S
1446,Rhod_sat_C,N1(c2ccccc2)C(=NC=[OX1])S[CH2]C1=[OX1],O=CN=C1S[CH2]C(=O)N1c1ccccc1
1447,Rhod_sat_D,N1(c2ccccc2)C(=[OX1])S[C!H0]([CH2]C(=[OX1])[N!H0]cc)C1=[OX1],ccNC(=O)[CH2]C1SC(=O)N(c2ccccc2)C1=O
1448,Rhod_sat_E,N1(c2ccccc2)C(=[OX1])S[C!H0]([N!H0]c3c4ccccc4ccc3)C1=[OX1],O=C1SC(Nc2cccc3ccccc23)C(=O)N1c1ccccc1
1449,Rhod_sat_F,N1(c2ccccc2)C(=[OX1])S[CH2]C1=S,O=C1S[CH2]C(=S)N1c1ccccc1
1450,Rhod_sat_imine_A,N1(C(=[OX1])c2ccccc2)C(=Nc3ccccc3)S[CH2]C1=[OX1],O=C1[CH2]SC(=Nc2ccccc2)N1C(=O)c1ccccc1
1451,Melamine_A,"o1[cH][cH][cH]c1[CH2][N!H0]c1c2ccccc2nc([N!H0]c4c([H,CH2,CH3,SX2,$(O[C!H0])])cc([H,CH2,CH3,SX2,$(O[C!H0])])c([H,CH2,CH3,SX2,$(O[C!H0])])c4)n1",*c1cc(*)c(Nc2nc(N[CH2]c3[cH][cH][cH]o3)c3ccccc3n2)cc1*
1452,Melamine_B,"n1c(N([CH2,CH3])[CH2,CH3])nc(N([CH2,CH3])[CH2,CH3])nc1N([C!H0])C=[OX1]",*N(*)c1nc(N(*)*)nc(N(C)C=O)n1
1453,Imidazole_B,"[CH2,CH3][CH2]S[CH2][#6]1=,:[#6]-,:[#7!H0]-,:[#6]=,:[#7]1",*[CH2]S[CH2]C1=CNC=N1
1454,Imidazole_C,[C!H0]1(n2[cH]n[cH][cH]2)c3[cH]c(Br)[cH][cH]c3[CH2][CH2]c4[cH][cH][cH][cH]c14,Brc1[cH][cH]c2c([cH]1)C(n1[cH][cH]n[cH]1)c1[cH][cH][cH][cH]c1[CH2][CH2]2
1455,Phthalimide_misc,[cH]1c(C(=[OX1])[OH1])[cH][cH]c2C(=[OX1])N(c3c[cH]c([#8])c[cH]3)C(=[OX1])c12,Oc1c[cH]c(N2C(=O)c3[cH][cH]c(C(=O)[OH])[cH]c3C2=O)c[cH]1
1456,Hzide_naphth,[cH]1[cH][cH][cH]c9[cH]c([cH][cH]c19)[N!H0][N!H0]C=[OX1],O=CNNc1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
1457,Naphth_amino_C,"c1ccc4c5c(cccc15)-,:[#6]=,:[#7]-,:[#7!H0]4",C1=NNc2cccc3cccc1c23
1458,Naphth_amino_D,"c1ccc4c5c(cccc15)-,:[#7]=,:[#7]-,:[#7]4",c1cc2c3c(cccc3c1)N=NN2
1459,Naphth_ene_one_A,"c1cc3c4c(c1)cccc4C(=CC3=[OX1])O[CH2,CH3]",*OC1=CC(=O)c2cccc3cccc1c23
1460,Naphth_ene_one_B,[#7]c1ccc2c3c1cccc3C(=[OX1])C=C2C(F)(F)(F),Nc1ccc2c3c(cccc13)C(=O)C=C2C(F)(F)F
1461,Naphth_ene_one_C,c1(ccc4c5c(cccc15)C(C=C4)=[#7])[#7],Nc1ccc2c3c(cccc13)C(=N)C=C2
1462,Coumarin_A,"c1(O[C!H0])[cH][cH]c2c3[cH][cH]c(O[CH2,CH3])[cH]c3-,:[#6](=[OX1])-,:[#8]c2c1",*Oc1[cH][cH]c2c([cH]1)C(=O)Oc1cc(OC)[cH][cH]c12
1463,Coumarin_B,"c1([CH2][C!H0]=[CH2])cccc2-,:[#6!H0]=,:[#6](C(=[OX1])[N!H0]cc)-,:[#6](=[OX1])-,:[#8]c12",ccNC(=O)C1=Cc2cccc([CH2]C=C)c2OC1=O
1464,Coumarin_C,C1(C=Nc4c(O1)ccc(Cl)c4)=[OX1],O=C1C=Nc2cc(Cl)ccc2O1
1465,Coumarin_D,c1c2C(c3ccccc3)=[C!H0]C(=[OX1])Oc2cc(O[CH2]coc)c1,coc[CH2]Oc1ccc2c(c1)OC(=O)C=C2c1ccccc1
1466,Coumarin_E,"c1cc2c(o1)cc(Br)c3[#8]-,:[#6](=[OX1])-,:[#6]=,:[#6!H0]c23",O=C1C=Cc2c(c(Br)cc3occc23)O1
1467,Coumarin_F,"c1ccc2c(c1)[#6]=,:[#6](C(=[OX1])[N!H0]c3c(Br)con3)-,:[#6](=[OX1])-,:[#8]2",O=C(Nc1nocc1Br)C1=Cc2ccccc2OC1=O
1468,Coumarin_G,"c1c([F,Cl,Br,I])cc2c(c1[F,Cl,Br,I])OC(=[N!H0])C(C(=[OX1])[NH2])=[C!H0]2",*c1cc(*)c2c(c1)C=C(C([NH2])=O)C(=N)O2
1469,Coumarin_H,"c1cccc2[#6!H0]=,:[#6](C(=[OX1])[N!H0]c3scc(-cs[c!H0])n3)-,:[#6](=[OX1])-,:[#8]c12",csc-c1csc(NC(=O)C2=Cc3ccccc3OC2=O)n1
1470,Cyanamide_A,[#8]C(=[OX1])[CH2][SX2]C(=NC#[NX1])[N!H0]c1ccccc1,N#CN=C(Nc1ccccc1)S[CH2]C(O)=O
1471,Steroid_A,[OX1]=C1CCC2C3C(=[OX1])CC4CCCC4C3CCC2=C1,O=C1CCC2C3C(CCC2=C1)C1CCCC1CC3=O
1472,Tert_butyl_A,[CH3]C([CH3])([CH3])c1[cH]c(C([CH3])([CH3])[CH3])c(O[C!H0][#7])c[cH]1,[CH3]C([CH3])([CH3])c1[cH]cc(OCN)c(C([CH3])([CH3])[CH3])[cH]1
1473,Tert_butyl_B,[CH3]C([CH3])([CH3])c1c([OH1])c(C([CH3])([CH3])([CH3]))[cH]c([CH2]c2[cH][cH]c([OH1])cc2)[cH]1,[CH3]C([CH3])([CH3])c1[cH]c([CH2]c2ccc([OH])[cH][cH]2)[cH]c(C([CH3])([CH3])[CH3])c1[OH]
1474,Hydroquin_A,c1([OH1])ccc([OH1])c(c1)C(=!@C[#7])C=[OX1],NC=C(C=O)c1cc([OH])ccc1[OH]
1475,Tetrazole_A,"[CH2,CH3][#6]1=,:[#7]-,:[#7]=,:[#7]-,:[#7]1c2[cH][cH]c(O[CH3])[cH][cH]2",*C1=NN=NN1c1[cH][cH]c(O[CH3])[cH][cH]1
1476,Misc_aminal_acid,"c1ccc4c(c1)COC(N4C(=[OX1])[CH2,CH3])(C(=[OX1])[OH1])[CH2,CH3]",*C(=O)N1c2ccccc2COC1(*)C(=O)[OH]
1477,Misc_aminoacid_A,[CX4]c1[cH][cH]c(C(=[OX1])[N!H0][C!H0]([CH2][CH2]S[CH3])C(=[OX1])[OH1])[cH][cH]1,Cc1[cH][cH]c(C(=O)NC([CH2][CH2]S[CH3])C(=O)[OH])[cH][cH]1
1478,Misc_anilide_A,"c1([N!H0]C(=[OX1])[CH2][CH2]-cc)[cH][cH]c([CH2,CH3])c([N!H0]C(=[OX1])[CH2][CH2]-cc)[cH]1",*c1[cH][cH]c(NC(=O)[CH2][CH2]cc)[cH]c1NC(=O)[CH2][CH2]cc
1479,Misc_anilide_B,"c1([N!H0]C(=[OX1])[N!H0][CH2][CH2][CH2,CH3])c([CH2,CH3])[cH]c(Br)[cH]c1[CH2,CH3]",*[CH2][CH2]NC(=O)Nc1c(*)[cH]c(Br)[cH]c1*
1480,Misc_anisole_A,"c1(c([cH]c5c([cH]1)c([cH]c([cH]5)c3[cH][cH]c(c([cH]3)O[CH2,CH3])O[CH2,CH3])[N!H0][CH3])O[CH2,CH3])O[CH2,CH3]",*Oc1[cH][cH]c(c2[cH]c(N[CH3])c3[cH]c(O*)c(O*)[cH]c3[cH]2)[cH]c1O*
1481,Misc_anisole_B,"c1([cH]c(O[CH2,CH3])c(O[CH2,CH3])[cH][cH]1)C(=[OX1])[CH2]N([CH2,CH3])c2ccc([CH2,CH3])cc2",*Oc1[cH][cH]c(C(=O)[CH2]N(*)c2ccc(*)cc2)[cH]c1O*
1482,Misc_anisole_C,[N!Ho](c1[cH][cH]c(O[CH3])c(O[C!H0])[cH]1)C(=[OX1])[N!H0][CH2][CH2][CH2]N([CH3])cc,COc1[cH]c(NC(=O)N[CH2][CH2][CH2]N([CH3])cc)[cH][cH]c1O[CH3]
1483,Misc_cyclopropane,C1([CH2][CH2]1)(C(=[OX1])[N!H0]c2ccc(O[CH2][#8])cc2)S(=[OX1])(=[OX1])-cc,ccS(=O)(=O)C1(C(=O)Nc2ccc(O[CH2]O)cc2)[CH2][CH2]1
1484,Misc_furan_A,"c3c([CH2,CH3])c([CH2,CH3])oc3[CH2]N[CH2][C!H0](O[CH2,CH3])[CH2]Oc1ccc2c(O[CH2]O2)c1",*OC([CH2]N[CH2]c1cc(*)c(*)o1)[CH2]Oc1ccc2c(c1)O[CH2]O2
1485,Misc_naphthimidazole,"c1c2c(cc5c1cccc5)-,:[#7!H0]-,:[#6](=,:[#7]2)COC(=[OX1])c8cc(cc(c8)[NH2])[NH2]",[NH2]c1cc([NH2])cc(C(=O)OCC2=Nc3cc4ccccc4cc3N2)c1
1486,Misc_phthal_thio_N,"c1(c2ccccc2)nc(N([CH2,CH3])[CH2][CH2]NC(=[OX1])c3c(C(=[OX1])[OH1])cccc3)sn1",*N([CH2][CH2]NC(=O)c1ccccc1C(=O)[OH])c1nc(c2ccccc2)ns1
1487,Misc_pyridine_OC,"[OX1]=C(c1[cH]c(O[CH3])nc(O[CH3])[cH]1)[N!H0][C!H0]([CH2,CH3])[CH2,CH3]",*C(*)NC(=O)c1[cH]c(O[CH3])nc(O[CH3])[cH]1
1488,Misc_pyrrole_benz,"[#7]1(-c2[cH][cH][cH][cH]c2C(=[OX1])[N!H0][C!H0]([CH2,CH3])[CH2]O-cc)-,:[#6!H0]=,:[#6!H0]-,:[#6!H0]=,:[#6!H0]1",*C([CH2]Occ)NC(=O)c1[cH][cH][cH][cH]c1N1C=CC=C1
1489,Misc_pyrrole_thiaz,"c1([C!H0]([CH2,CH3])[CH2][CH2]N[CH2]c2[n!H0]ccc2)nc(-c3ccccc3)[c!H0]s1",*C([CH2][CH2]N[CH2]c1cccn1)c1nc(-c2ccccc2)cs1
1490,Misc_stilbene,C1(cc)=C(cc)[CH2][C!H0](C(=[OX1])[#6])[C!H0](C(=[OX1])[OH1])[CH2]1,CC(=O)C1[CH2]C(cc)=C(cc)[CH2]C1C(=O)[OH]
1491,Misc_trityl_A,C(cc)(cc)(cc)SccC(=[OX1])[OH1],ccC(cc)(cc)SccC(=O)[OH]
1492,Misc_urea_A,"c1(C([CX4])([CX4])[N!H0]C(=[OX1])N([CH2][CH2,CH3])[CH2][CH2][CH2][CH2]-cc)[cH][cH][cH]c(C(=[CH2])[CH2,CH3])[cH]1",*[CH2]N([CH2][CH2][CH2][CH2]cc)C(=O)NC(C)(C)c1[cH][cH][cH]c(C(*)=C)[cH]1
1493,Imidazole_amino_A,n1c(c2ccccc2)c(c3ccccc3)n(N=!@[#6])c1[NH2],C=Nn1c([NH2])nc(c2ccccc2)c1c1ccccc1
1494,Phenol_sulfite_A,C(c1ccc([OH1])cc1)(c2ccc([OH1])cc2)OS(=[OX1])=[OX1],O=S(=O)OC(c1ccc([OH])cc1)c1ccc([OH])cc1
1495,Pyrazole_amino_A,"[#6]1=,:[#6]([NH2])-,:[#7]-,:[#7]=,:[#6]1-[#6]2=,:[#6]([CH2,CH3])-,:[#8]-,:[#6!H0]=,:[#6!H0]2",*C1=C(C2=NNC([NH2])=C2)C=CO1
1496,Pyrazole_amino_B,"[#16]1-,:[#6]=,:[#6]-,:[#7]=,:[#6]1-[#6]6-,:[#6!H0]=,:[#7]-,:[#7!H0]-,:[#6]([NH2])=,:6",[NH2]C1=C(C2=NC=CS2)C=NN1
1497,Indole_3yl_alk_B,"c12[cH][cH][cH][cH]c1-,:[#6]([CH2,CH3])=,:[#6](-cc)-,:[#7]2-!@cc",*C1=C(cc)N(cc)c2[cH][cH][cH][cH]c21
1498,Mannich_B,"c1c[cH]c2O[CH2]N(ccO[CH2,CH3])[CH2]c2[cH]1",*OccN1[CH2]Oc2[cH]cc[cH]c2[CH2]1
1499,Mannich_catechol_A,"[cH]1c([#8])c([#8])[cH]c2c1O[CH2]N([CH2,CH3])[CH2]2",*N1[CH2]Oc2[cH]c(O)c(O)[cH]c2[CH2]1
1500,Dyes7A,"c1ccccc1N([CH2,CH3])[C!H0]=[C!H0]C=!@[C!H0][C!H0]=CC=&@Nc2ccccc2",*N(C=CC=CC=CC=Nc1ccccc1)c1ccccc1
1501,Misc_imidazole,"[C!H0](c1[cH][cH]c(Cl)[cH][cH]1)(c2[cH][cH]c(Cl)[cH][cH]2)O[CH2][CH2][CH2][#6]3-,:[#7]([CH3])-,:[#6!H0]=,:[#6!H0]-,:[#7]=,:3",[CH3]N1C=CN=C1[CH2][CH2][CH2]OC(c1[cH][cH]c(Cl)[cH][cH]1)c1[cH][cH]c(Cl)[cH][cH]1
1502,Het_thio_N_5C,"cc[N!H0]C(=[OX1])[#6]1-,:[#7]=,:[#7]-,:[#16]-,:[#6]([N!H0]cc)=,:1",ccNC(=O)C1=C(Ncc)SN=N1
1503,Valproic acid derivatives,[OH1][CX3](=[OX1])[CX4H1]([CX4H2]-C~[#6])([CX4H2]-C~[#6]),C~C[CH2][CH]([CH2]C~C)C(=O)[OH]
1504,Retinoic acid derivatives_1,"[$([OH1][CX3](=[OX1])c1[cH][cH]c(-c2c[cH]c3[cH]c([H,CX4])c([H,CX4])[cH]c3[cH]2)[cH][cH]1),$([OH1][CX3](=[OX1])c1[cH]c2[cH]cc(-c3[cH]c([H,CX4])c([H,CX4])[cH][cH]3)[cH]c2[cH][cH]1)]",*
1505,Thiazole_amine_I,"[CH2,CH3][N!H0]C=N[N!H0][#6]1=,:[#7]-,:[#6](-cc)=,:[#6!H0]-,:[#16]1",*NC=NNC1=NC(cc)=CS1
1506,Indol_3yl_alk,"[H,CH2,CH3][#7]1-,:[#6]([CH2,CH3,$([a!c](:[#6]-,:[#7])),$([C!H0][#7]),$([C!H0]([CH2,CH3])[N!H0][CH2,CH3]),$([C!H0]([CH2,CH3])[CH2][N!H0][CH2,CH3])])=,:[#6]([CX4!H0])-,:c2[cH]cccc12",*C1=C(C)c2[cH]cccc2N1*
1507,Tetrazole_hzide,"a1aaa(aa1)[C!H0]=[C!H0]C(=[OX1])[N!H0][N!H0][#6]2=,:[#7]-,:[#7]=,:[#7]-,:[#7]2[#6]",CN1N=NN=C1NNC(=O)C=C*1:*:*:*:*:*:1
1508,Three-membered heterocycles (LS),[!#6!#1]1~*~*~1,*1~*~*~1
1509,Three-membered heterocycles with one heteroatom (LS),[!#6!#1]1~[#6]~[#6]~1,*1~C~C~1
1510,Saturated three-membered heterocycles with one heteroatom (LS),[!#6!#1]1-[#6]-[#6]-1,*1CC1
1511,Unsaturated three-membered heterocycles with one heteroatom (LS),"[$([!#1!#6]1~[#6]=[#6]~1),$([!#1!#6]1=[#6]~[#6]~1)]",*
1512,Three-membered heterocycles with two heteroatoms (LS),[!#6!#1]1~[!#6!#1]~[#6]~1,*1~*~C~1
1513,Saturated three-membered heterocycles with two heteroatoms (LS),[!#6!#1]1-[!#6!#1]-[#6]-1,*1*C1
1514,Unsaturated three-membered heterocycles with two heteroatoms (LS),"[$([!#1!#6]1=[!#1!#6]~[#6]~1),$([!#1!#6]1~[!#6!#1]=[#6]~1)]",*
1515,Three-membered heterocycles with three heteroatoms (LS),[!#6!#1]1~[!#6!#1]~[!#6!#1]~1,*1~*~*~1
1516,Saturated three-membered heterocycles with three heteroatoms (LS),[!#6!#1]1-[!#6!#1]-[!#6!#1]-1,*1**1
1517,Unsaturated three-membered heterocycles with three heteroatoms (LS),[!#1!#6]1~[!#1!#6]=[!#1!#6]~1,*1~*=*~1
1518,Three-membered heterocycles (HS),[!#6!#1;R1]1~[*R1]~[*R1]~1,*1~*~*~1
1519,Three-membered heterocycles with one heteroatom (HS),[!#6!#1;R1]1~[#6&R1]~[#6&R1]~1,*1~C~C~1
1520,Saturated three-membered heterocycles with one heteroatom (HS),[!#6!#1;R1]1-[#6&R1]-[#6&R1]-1,*1CC1
1521,Aziridines (HS),[#7R1]1-[#6R1]-[#6R1]-1,C1CN1
1522,Oxiranes (HS),[#8R1]1-[#6R1]-[#6R1]-1,C1CO1
1523,Thiiranes (HS),[#16X2R1]1-[#6R1]-[#6R1]-1,C1CS1
1524,Unsaturated three-membered heterocycles with one heteroatom (HS),"[$([!#1!#6;R1]1~[#6R1]=[#6R1]~1),$([!#1!#6;R1]1=[#6R1]~[#6R1]~1)]",*
1525,Azirines (HS),"[$([#7R1]1-[#6R1]=[#6R1]-1),$([#7R1]1=[#6R1]-[#6R1]-1)]",*
1526,1H-Azirines (HS),[#7R1]1-[#6R1]=[#6R1]-1,C1=CN1
1527,2H-Azirines (HS),[#7R1]1=[#6R1]-[#6R1]-1,C1=NC1
1528,Oxirenes (HS),[#8R1]1-[#6R1]=[#6R1]-1,C1=CO1
1529,Thiirenes (HS),[#16X2R1]1-[#6R1]=[#6R1]-1,C1=CS1
1530,Three-membered heterocycles with two heteroatoms (HS),[!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~1,*1~*~C~1
1531,Saturated three-membered heterocycles with two heteroatoms (HS),[!#6!#1;R1]1-[!#6!#1;R1]-[#6R1]-1,*1*C1
1532,Diaziridines (HS),[#7R1]1-[#7R1]-[#6R1]-1,C1NN1
1533,Dioxiranes (HS),[#8R1]1-[#8R1]-[#6R1]-1,C1OO1
1534,Oxaziridines (HS),[#8R1]1-[#7R1]-[#6R1]-1,C1NO1
1535,Thiaziridines (HS),[#16X2R1]1-[#7R1]-[#6R1]-1,C1NS1
1536,Unsaturated three-membered heterocycles with two heteroatoms (HS),"[$([!#1!#6;R1]1=[!#1!#6;R1]~[#6R1]~1),$([!#1!#6;R1]1~[!#6!#1;R1]=[#6R1]~1)]",*
1537,1H-Diazirenes (HS),[#7R1]1-[#7R1]=[#6R1]-1,C1=NN1
1538,3H-Diazirenes (HS),[#7R1]1=[#7R1]-[#6R1]-1,C1N=N1
1539,Oxazirenes  (HS),[#7R1]1=[#6R1]-[#8R1]-1,C1=NO1
1540,Thiazerenes  (HS),[#7R1]1=[#6R1]-[#16X2R1]-1,C1=NS1
1541,Three-membered heterocycles with three heteroatoms (HS),[!#6!#1;R1]1~[!#6!#1;R1]~[!#6!#1;R1]~1,*1~*~*~1
1542,Saturated three-membered heterocycles with three heteroatoms (HS),[!#6!#1;R1]1-[!#6!#1;R1]-[!#6!#1;R1]-1,*1**1
1543,Triaziridines (HS),[#7R1]1-[#7R1]-[#7R1]-1,N1NN1
1544,Trioxiranes (HS),[#8R1]1-[#8R1]-[#8R1]-1,O1OO1
1545,Trithiiranes (HS),[#16X2R1]1-[#16X2R1]-[#16X2R1]1,S1SS1
1546,Oxadiaziridines (HS),[#8R1]1-[#7R1]-[#7R1]1,N1NO1
1547,Dioxaziridines (HS),[#8R1]1-[#8R1]-[#7R1]1,N1OO1
1548,Thiodiaziridines (HS),[#16X2R1]1-[#7R1]-[#7R1]1,N1NS1
1549,Dithiaziridines (HS),[#16X2R1]1-[#16X2R1]-[#7R1]1,N1SS1
1550,Unsaturated three-membered heterocycles with three heteroatoms (HS),[!#1!#6;R1]1-[!#6!#1;R1]=[!#6!#1;R1]1,*1*=*1
1551,1H-Triazirene  (HS),[#7R1]1-[#7R1]=[#7R1]1,N1N=N1
1552,Oxadiazirenes  (HS),[#7R1]1=[#7R1]-[#8R1]1,N1=NO1
1553,Thiodiazirenes  (HS),[#7R1]1=[#7R1]-[#16X2R1]1,N1=NS1
1554,Four-membered heterocycles with two heteroatoms (LS),"[$([!#6!#1]1~[!#6!#1]~[#6]~[#6]~1),$([!#6!#1]1~[#6]~[!#6!#1]~[#6]~1)]",*
1555,Saturated four-membered heterocycles with two heteroatoms (LS),"[$([!#6!#1]1-[!#6!#1]-[#6]-[#6]-1),$([!#6!#1]1-[#6]-[!#6!#1]-[#6]-1)]",*
