,Len,Functional grp name,SMARTS,Smiles,Validity
444,16,Ene_six_het_C,[OX1]=C1cc[CH2]NC1=[C!H0],C=C1N[CH2]ccC1=O,Valid
445,17,Ene_rhod_E,S1C(=[OX1])NC(=[SX1])C1=[C!H0]cc,ccC=C1SC(=O)NC1=S,Valid
446,15,Ene_misc_A,C1([#8])OC([#6])([#8])C=C1,CC1(O)C=CC(O)O1,Valid
447,41,Ene_misc_B,cc[CH2][C!H0](C=[OX1])N1C(=[OX1])[C!H0]2[CH2]C=C[CH2][C!H0]2C1(=[OX1]),cc[CH2]C(C=O)N1C(=O)C2[CH2]C=C[CH2]C2C1=O,Valid
448,19,Dhp_amidine_A,[N!H0]1N=C([N!H0])SC(-cc)=C1-cc,ccC1=C(cc)SC(N)=NN1,Valid
449,31,Dhp_amino_CN_C,"[NH2][#6]1=,:[#6](C#[NX1])-,:[#6!H0](cc)-,:[#6](C#[NX1])=,:[#6](cc)-,:[#8]1",ccC1C(C#N)=C([NH2])OC(cc)=C1C#N,Valid
450,28,Dhp_amino_CN_D,[NH2]C1=C(C#[NX1])[C!H0](cc)c2c(ccs2)O1,ccC1C(C#N)=C([NH2])Oc2ccsc21,Valid
451,21,Dhp_amino_CN_H,[NH2]C1=C(C#[NX1])[C!H0](-cc)S[CX4]S1,ccC1SCSC([NH2])=C1C#N,Valid
452,39,Cyano_amino_het_A,c1(c(nc4c(c1C#[NX1])c(c(cc4)C#[NX1])[NH2])[NH2])C#[NX1],N#Cc1ccc2nc([NH2])c(C#N)c(C#N)c2c1[NH2],Valid
453,48,Cyano_amino_het_B,n1c([SX2]c3c([NH2])cccc3)c(C#[NX1])c(-c2ccccc2)c(C#[NX1])c1([NH2]),N#Cc1c([NH2])nc(Sc2ccccc2[NH2])c(C#N)c1-c1ccccc1,Valid
454,19,Cyano_cyano_B,C1(C#[NX1])(C#[NX1])[C!H0](C(=[OX1])C)[C!H0]1,CC(=O)C1CC1(C#N)C#N,Valid
455,27,Cyano_ene_amine_B,C=CC(C#[NX1])(C#[NX1])C(C#[NX1])=C[NH2],C=CC(C#N)(C#N)C(=C[NH2])C#N,Valid
456,24,Cyano_ene_amine_C,ccC(=[OX1])[N!H0]C(=[OX1])C(C#[NX1])=[C!H0][N!H0]cc,ccNC=C(C#N)C(=O)NC(=O)cc,Valid
457,16,Cyano_imine_C,[OX1]=S(=[OX1])C(C#[NX1])=N[N!H0],NN=C(C#N)S(=O)=O,Valid
458,14,Cyano_imine_D,[OX1]=C1C(C#[NX1])=NNCC1,N#CC1=NNCCC1=O,Valid
459,19,Cyano_pyridone_D,"[OX1]=[#6]1-,:[#6](=,:[#6]-,:[#6](-,:[#7]-,:[#7]1)C=[OX1])C#[NX1]",N#CC1=CC(C=O)NNC1=O,Valid
460,22,Cyano_misc_A,c1(c2ccccc2nnc1)C(cc)C#[NX1],ccC(C#N)c1cnnc2ccccc12,Valid
461,23,Thio_amide_B,[CX4][N!H0]C(cc)=[C!H0]C(=S)[N!H0]c1ccccc1,CNC(=CC(=S)Nc1ccccc1)cc,Valid
462,25,Thio_amide_C,[C!H0](c1ccccc1)(c2ccccc2)C(=S)[N!H0],NC(=S)C(c1ccccc1)c1ccccc1,Valid
463,15,Thio_amide_D,[C!H0]N([C!H0])[#6]:[#6][N!H0]C(=S)[C!H0],CC(=S)NC:CN(C)C,Valid
464,15,Thio_ester_A,C1=C(SC(C=C1)=S)[#7],NC1=CC=CC(=S)S1,Valid
465,18,Thio_ester_C,"[#7]1-,:[#6](=[OX1])=,:[#6!H0]-,:[#6]([#6])-,:[#16]-,:[#6]1(=S)",CC1C=C(=O)NC(=S)S1,Valid
466,29,Thio_est_cyano_A,C1=CN(C(c5ccccc15)(C#[NX1])C(=S)S)C=[OX1],N#CC1(C(S)=S)c2ccccc2C=CN1C=O,Valid
467,33,Thio_imide_A,c2ccccc2N1C(=[OX1])C(Sc3ccccc3)=[C!H0]C1=[OX1],O=C1C=C(Sc2ccccc2)C(=O)N1c1ccccc1,Valid
468,24,Thio_urea_D,c1(ccccc1)[N!H0]C(=[SX1])N[N!H0]c2ccccc2,S=C(NNc1ccccc1)Nc1ccccc1,Valid
469,28,Thio_urea_E,c1c([N!H0]C(=[S1])[N!H0][CH2]c2ncccc2)cccc1,S=C(N[CH2]c1ccccn1)Nc1ccccc1,Valid
470,10,Thio_urea_F,C1[N!H0][N!H0]C(=[SX1])N[N!H0]1,S=C1NNCNN1,Valid
471,22,Thio_urea_G,"c1ccccc1[N!H0]C(=[SX1])N[N!H0][#6](=,:[#7R])-,:[#7R]",NC(=N)NNC(=S)Nc1ccccc1,Valid
472,26,Thio_urea_H,"[#6]1(=S)-,:[#7]([CH2]c2occc2)-,:[#6](cc)=,:[#7]-,:[#7!H0]1",ccC1=NNC(=S)N1[CH2]c1ccco1,Valid
473,25,Thio_urea_I,c1ccccc1[N!H0]C(=[SX1])[N!H0]N=Cc2ccnc2,S=C(NN=Cc1ccnc1)Nc1ccccc1,Valid
474,18,Thio_urea_J,c1(ccoc1[C!H0])C=N[N!H0]C(=[SX1])[N!H0],Cc1occc1C=NNC(N)=S,Valid
475,18,Thio_urea_K,"[#6]1(=[SX1])-,:[#7]2-,:[#6]=,:[#6]-,:[#7]=,:[#7]-,:[#6]2=,:[#7][#7!H0]1",S=C1NN=C2N=NC=CN12,Valid
476,44,Thio_urea_N,o1[cH][cH][cH]c1[CH2][N!H0]C(=S)N([C!H0])[CH2]c2ccccc2,CN([CH2]c1ccccc1)C(=S)N[CH2]c1[cH][cH][cH]o1,Valid
477,52,Thio_urea_O,[cH]1c([N!H0]C(=S)[N!H0][C!H0]c3oc([C!H0])[cH][cH]3)[cH]c2c(O[CH2]O2)[cH]1,Cc1[cH][cH]c(CNC(=S)Nc2[cH][cH]c3c([cH]2)O[CH2]O3)o1,Valid
478,19,Thio_urea_P,"[OX1]=C-!@n1ccc2c1-,:[#7!H0]-,:[#6](=S)-,:[#7!H0]2",O=Cn1ccc2c1NC(=S)N2,Valid
479,22,Thio_urea_R,c1ccccc1[N!H0]C(=S)N[N!H0][C!H0]=[C!H0]C=[OX1],O=CC=CNNC(=S)Nc1ccccc1,Valid
480,11,Thio_carbam_ene,S1C(=S)NC=C[CX4]1,S=C1NC=CCS1,Valid
481,22,Thio_cyano_A,[N!H0]1C(=S)[C!H0](C#[NX1])[C!H0](-cc)[C!H0]=C1(-cc),ccC1C=C(cc)NC(=S)C1C#N,Valid
482,20,Thio_keto_het,"[#6]1=,:[#6](C=S)-,:[#7]2-,:[#6]=,:[#6]-,:[#6]=,:[#6]-,:[#6]2=,:[#6]1",S=CC1=CC=C2C=CC=CN12,Valid
483,27,Thiophene_F,S(=[OX1])(=[OX1])[N!H0]c1sc([C!H0])c([C!H0])c1(C(=[OX1])[N!H0]),Cc1sc(NS(=O)=O)c(C(N)=O)c1C,Valid
484,30,Thiophene_amino_D,C=CC(=[OX1])Nc1sc(C(=[OX1])O)c([C!H0])c1(C#[NX1]),Cc1c(C(O)=O)sc(NC(=O)C=C)c1C#N,Valid
485,28,Thiophene_amino_E,"[#6]1=,:[#6]-,:[#16]-,:[#6](=,:[#6]1[NH2])[C!H0]=[C!H0][#6]2=,:[#6]-,:[#6]=,:[#6]-,:[#16]2",[NH2]C1=C(C=CC2=CC=CS2)SC=C1,Valid
486,32,Thiophene_amino_G,cccccc-c1sc([N!H0]C(=[OX1])[#6])c(C(=[OX1])[OH1])c1,CC(=O)Nc1sc(-cccccc)cc1C(=O)[OH],Valid
487,23,Thiophene_amino_H,[#6!H0][N!H0]c1sc([#6!H0])c([#6!H0])c1C(=[OX1])[N!H0]cc,CNc1sc(C)c(C)c1C(=O)Ncc,Valid
488,33,Keto_phenone_C,c1(cc3c(c5ccccc15)c4c(C3=[OX1])cccc4)[OH1],O=C1c2ccccc2c2c1cc([OH])c1ccccc12,Valid
489,35,Keto_phenone_zone_A,c1c(cccc1)C(=[OX1])[N!H0]N=C2c3c(cccc3)c4c2cccc4,O=C(NN=C1c2ccccc2c2ccccc21)c1ccccc1,Valid
490,13,Keto_keto_beta_B,[CX4]1C(=[OX1])NNC(=[OX1])1,O=C1CC(=O)NN1,Valid
491,20,Keto_keto_beta_C,c1ccc7c(c1)C(C(=C7[#8!H0])[#6])=[OX1],CC1=C(O)c2ccccc2C1=O,Valid
492,10,Keto_keto_beta_D,[OX1]=CC=[C!H0][OH1],O=CC=C[OH],Valid
493,27,Keto_keto_beta_E,[OX1]=C[C!H0]=C([OH1])C([OH1])=[C!H0]C(=[OX1])[#6],CC(=O)C=C([OH])C([OH])=CC=O,Valid
494,20,Keto_keto_gamma,[OX1]=C2[CX4]CC(=[OX1])c7c2cccc7,O=C1CCC(=O)c2ccccc21,Valid
495,20,Anil_di_alk_K,c1([NH2])ccc(N([CX3])[CX3])cc1,CN(C)c1ccc([NH2])cc1,Valid
496,50,Anil_di_alk_L,c1cc3c(cc1)N([CH2][CH2]N4C(c6c(C4=[OX1])cccc6)=[OX1])[CH2][CH2]3,O=C1c2ccccc2C(=O)N1[CH2][CH2]N1[CH2][CH2]c2ccccc21,Valid
497,42,Anil_alk_bim,[cH]1[cH]c([N!H0][CH2]c2ccccc2)[cH]c2c1n([#6])[cH]n2,Cn1[cH]nc2[cH]c(N[CH2]c3ccccc3)[cH][cH]c21,Valid
498,33,Anil_OC_no_alk_A,[NH2]c4[cH]nc(Oc5ccccc5)[cH][cH]4,[NH2]c1[cH][cH]c(Oc2ccccc2)n[cH]1,Valid
499,13,Ene_one_B,C([#16])([#7])=[C!H0]C=[C!H0]C=[OX1],NC(S)=CC=CC=O,Valid
500,22,Ene_one_C,C1(=[OX1])C(C(C#[NX1])=[C!H0][#7])C([#7])C=C1,NC=C(C#N)C1C(N)C=CC1=O,Valid
501,21,Ene_one_one_A,[OX1]=CC1=C(SC(=[#6!H0][#6])S1)C=[OX1],CC=C1SC(C=O)=C(C=O)S1,Valid
502,30,Ene_one_one_B,C1(C(=[OX1])[CH2]C[CH2]C1(=[OX1]))=C([N!H0])C=[OX1],NC(C=O)=C1C(=O)[CH2]C[CH2]C1=O,Valid
503,11,Ene_one_yne_A,C#CC(=[OX1])C#C,C#CC(=O)C#C,Valid
504,20,Imine_ene_one_A,C1(C=Nc4c(N1)cccc4)=[C!H0]C=[OX1],O=CC=C1C=Nc2ccccc2N1,Valid
505,20,Imine_ene_one_B,c1cC(=[OX1])C=C1N=[C!H0]N([CX4])[CX4],CN(C)C=NC1=CC(=O)cc1,Valid
506,16,Imine_imine_A,c1ccc4c(c1)[#6]([#6]=[#7]4)=[#7!R],N=C1C=Nc2ccccc21,Valid
507,11,Imine_imine_B,cc[C!H0]=[C!H0][C!H0]=NN=C,ccC=CC=NN=C,Valid
508,17,Imine_one_fives_B,[N!R]=C2C(=[OX1])c5c(cccc5)S2,N=C1Sc2ccccc2C1=O,Valid
509,15,Imine_phenol_A,[#6]=[N!R]c3c([OH1])cccc3,C=Nc1ccccc1[OH],Valid
510,22,Pyrrole_D,"[#7]1(C)-,:[#6!H0]=,:[#6!H0]-,:[#6!H0]=,:[#6]1[CH2][N!H0]C(=[SX1])[N!H0]",CN1C=CC=C1[CH2]NC(N)=S,Valid
511,24,Pyrrole_M,"[#7]1(c2ccccc2)-,:[#6!H0]=,:[#6!H0]-,:[#6!H0]=,:[#6]1C=N[OH1]",[OH]N=CC1=CC=CN1c1ccccc1,Valid
512,34,Pyrrole_N,"[#7]1([C!H0]c2[cH][cH]c[cH][cH]2)-,:[#6]([C!H0])=,:[#6!H0]-,:[#6!H0]=,:[#6]1[C!H0]",CC1=CC=C(C)N1Cc1[cH][cH]c[cH][cH]1,Valid
513,32,Quinone_B,"c1ccc4c(c1)[#6]7=,:[#6]8-,:[#6]([#6]4=[OX1])=,:[#6]-,:[#6]=,:[#6]-,:[#6]8=,:[#7]-,:[#8]7",O=C1C2=CC=CC3=NOC(=C23)c2ccccc21,Valid
514,36,Quinone_C,[OX1]=C1c2ccccc2C3=C([OH1])C(=[OX1])Nc4cccc1c34,O=C1Nc2cccc3c2C(=C1[OH])c1ccccc1C3=O,Valid
515,24,Diazox_A,O(c2ccccc2)c3cc1nonc1cc3,c1ccc(Oc2ccc3nonc3c2)cc1,Valid
516,15,Diazox_B,Clc2cc1nonc1cc2,Clc1ccc2nonc2c1,Valid
517,29,Diazox_E,[NH2]c1c([NH2])[cH][cH]c2nonc12,[NH2]c1[cH][cH]c2nonc2c1[NH2],Valid
518,40,Diazox_sulfon_B,c3ccccc3N1[C!H0][C!H0]N([C!H0][C!H0]1)S(=[OX1])(=[OX1])c4c2nsnc2ccc4,O=S(=O)(c1cccc2nsnc12)N1CCN(c2ccccc2)CC1,Valid
519,26,Sulfonamide_D,c1c(ccc(c1)[N!H0]S(=[OX1])(=[OX1]))[N!H0]S(=[OX1])(=[OX1]),O=S(=O)Nc1ccc(NS(=O)=O)cc1,Valid
520,15,Sulfonamide_E,cc[N!H0]S(=[OX1])(=[OX1])[N!H0]cc,ccNS(=O)(=O)Ncc,Valid
521,25,Sulfonamide_F,"[OX1]=S(=[OX1])(cc)[N!H0][#6]1=,:[#7]-,:[#6](=,:[#6]-,:[#16]1)cc",ccC1=CSC(NS(=O)(=O)cc)=N1,Valid
522,54,Sulfonamide_H,c1([cH][cH]c([NH2])[cH][cH]1)S(=[OX1])(=[OX1])[N!H0]c2[cH][cH][cH]nn2,[NH2]c1[cH][cH]c(S(=O)(=O)Nc2[cH][cH][cH]nn2)[cH][cH]1,Valid
523,34,Sulfonamide_J,"[#7]1(c2c([N!H0]S(=[OX1])(=[OX1])c3sccc3)cccc2)-,:[#6!H0]=,:[#6!H0]-,:[#6!H0]=,:[#6!H0]1",O=S(=O)(Nc1ccccc1N1C=CC=C1)c1cccs1,Valid
524,22,Imine_ene_A,cc[CH]=[CH][CH]=NN([CX4])[CX4],CN(C)N=[CH][CH]=[CH]cc,Valid
525,12,Thiazol_SC_A,[#6][SX2]c1n[cH]cs1,CSc1n[cH]cs1,Valid
526,24,Thiazole_amine_A,[N!H0]c1nc(c2cnc([NH2])s2)cs1,Nc1nc(c2cnc([NH2])s2)cs1,Valid
527,24,Thiazole_amine_E,[OX1]=C[N!H0]c1c(-cc)nc([CH2]C#[NX1])s1,cc-c1nc([CH2]C#N)sc1NC=O,Valid
528,26,Thiazole_amine_F,[#6!H0][#7!H0]c1nc(-C2=CN=C3N2C=CS3)cs1,CNc1nc(C2=CN=C3SC=CN23)cs1,Valid
529,18,Thiazole_amine_G,"[#6]1=,:[#6]-,:[#16]-,:[#6](NNS(=[OX1])=[OX1])=,:[#7]1",O=S(=O)NNC1=NC=CS1,Valid
530,46,Thiazole_amine_H,"c1ccc(C(=[OX1])[OH1])cc1[N!H0][#6]2=,:[#7]-,:[#6](=,:[#6!H0]-,:[#16]2)c3ccc([C!H0]([C!H0])[C!H0])cc3",CC(C)c1ccc(C2=CSC(Nc3cccc(C(=O)[OH])c3)=N2)cc1,Valid
531,26,Thiazole_amine_J,"[OX1]=S(=[OX1])(cc)[N!H0][N!H0][#6]1=,:[#7]-,:[#6](=,:[#6]-,:[#16]1)cc",ccC1=CSC(NNS(=O)(=O)cc)=N1,Valid
532,26,Thiazole_amine_K,"n1c2c(cc5c1-,:[#7]=,:[#6](-,:[#16]5)[#7])-,:[#16]-,:[#6](=,:[#7]2)[#7]",NC1=Nc2nc3c(cc2S1)SC(N)=N3,Valid
533,25,Thiazole_amine_L,s1ccc(-c2csc([NH2])n2)[cH]1,[NH2]c1nc(-c2ccs[cH]2)cs1,Valid
534,16,Colchicine_A,"[#6]1(-,:[#6](=,:[#6]-,:[#6]=,:[#6]-,:[#6]=,:[#6]1)[N!H0])=NC",CN=C1C=CC=CC=C1N,Valid
535,28,Rhod_sat_C,N1(c2ccccc2)C(=NC=[OX1])S[CH2]C1=[OX1],O=CN=C1S[CH2]C(=O)N1c1ccccc1,Valid
536,36,Rhod_sat_D,N1(c2ccccc2)C(=[OX1])S[C!H0]([CH2]C(=[OX1])[N!H0]cc)C1=[OX1],ccNC(=O)[CH2]C1SC(=O)N(c2ccccc2)C1=O,Valid
537,38,Rhod_sat_E,N1(c2ccccc2)C(=[OX1])S[C!H0]([N!H0]c3c4ccccc4ccc3)C1=[OX1],O=C1SC(Nc2cccc3ccccc23)C(=O)N1c1ccccc1,Valid
538,25,Rhod_sat_F,N1(c2ccccc2)C(=[OX1])S[CH2]C1=S,O=C1S[CH2]C(=S)N1c1ccccc1,Valid
539,38,Rhod_sat_imine_A,N1(C(=[OX1])c2ccccc2)C(=Nc3ccccc3)S[CH2]C1=[OX1],O=C1[CH2]SC(=Nc2ccccc2)N1C(=O)c1ccccc1,Valid
540,72,Imidazole_C,[C!H0]1(n2[cH]n[cH][cH]2)c3[cH]c(Br)[cH][cH]c3[CH2][CH2]c4[cH][cH][cH][cH]c14,Brc1[cH][cH]c2c([cH]1)C(n1[cH][cH]n[cH]1)c1[cH][cH][cH][cH]c1[CH2][CH2]2,Valid
541,56,Phthalimide_misc,[cH]1c(C(=[OX1])[OH1])[cH][cH]c2C(=[OX1])N(c3c[cH]c([#8])c[cH]3)C(=[OX1])c12,Oc1c[cH]c(N2C(=O)c3[cH][cH]c(C(=O)[OH])[cH]c3C2=O)c[cH]1,Valid
542,40,Hzide_naphth,[cH]1[cH][cH][cH]c9[cH]c([cH][cH]c19)[N!H0][N!H0]C=[OX1],O=CNNc1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1,Valid
543,20,Naphth_amino_C,"c1ccc4c5c(cccc15)-,:[#6]=,:[#7]-,:[#7!H0]4",C1=NNc2cccc3cccc1c23,Valid
544,22,Naphth_amino_D,"c1ccc4c5c(cccc15)-,:[#7]=,:[#7]-,:[#7]4",c1cc2c3c(cccc3c1)N=NN2,Valid
545,35,Naphth_ene_one_B,[#7]c1ccc2c3c1cccc3C(=[OX1])C=C2C(F)(F)(F),Nc1ccc2c3c(cccc13)C(=O)C=C2C(F)(F)F,Valid
546,27,Naphth_ene_one_C,c1(ccc4c5c(cccc15)C(C=C4)=[#7])[#7],Nc1ccc2c3c(cccc13)C(=N)C=C2,Valid
547,35,Coumarin_B,"c1([CH2][C!H0]=[CH2])cccc2-,:[#6!H0]=,:[#6](C(=[OX1])[N!H0]cc)-,:[#6](=[OX1])-,:[#8]c12",ccNC(=O)C1=Cc2cccc([CH2]C=C)c2OC1=O,Valid
548,21,Coumarin_C,C1(C=Nc4c(O1)ccc(Cl)c4)=[OX1],O=C1C=Nc2cc(Cl)ccc2O1,Valid
549,38,Coumarin_D,c1c2C(c3ccccc3)=[C!H0]C(=[OX1])Oc2cc(O[CH2]coc)c1,coc[CH2]Oc1ccc2c(c1)OC(=O)C=C2c1ccccc1,Valid
550,28,Coumarin_E,"c1cc2c(o1)cc(Br)c3[#8]-,:[#6](=[OX1])-,:[#6]=,:[#6!H0]c23",O=C1C=Cc2c(c(Br)cc3occc23)O1,Valid
551,32,Coumarin_F,"c1ccc2c(c1)[#6]=,:[#6](C(=[OX1])[N!H0]c3c(Br)con3)-,:[#6](=[OX1])-,:[#8]2",O=C(Nc1nocc1Br)C1=Cc2ccccc2OC1=O,Valid
552,36,Coumarin_H,"c1cccc2[#6!H0]=,:[#6](C(=[OX1])[N!H0]c3scc(-cs[c!H0])n3)-,:[#6](=[OX1])-,:[#8]c12",csc-c1csc(NC(=O)C2=Cc3ccccc3OC2=O)n1,Valid
553,29,Cyanamide_A,[#8]C(=[OX1])[CH2][SX2]C(=NC#[NX1])[N!H0]c1ccccc1,N#CN=C(Nc1ccccc1)S[CH2]C(O)=O,Valid
554,32,Steroid_A,[OX1]=C1CCC2C3C(=[OX1])CC4CCCC4C3CCC2=C1,O=C1CCC2C3C(CCC2=C1)C1CCCC1CC3=O,Valid
555,61,Tert_butyl_A,[CH3]C([CH3])([CH3])c1[cH]c(C([CH3])([CH3])[CH3])c(O[C!H0][#7])c[cH]1,[CH3]C([CH3])([CH3])c1[cH]cc(OCN)c(C([CH3])([CH3])[CH3])[cH]1,Valid
556,87,Tert_butyl_B,[CH3]C([CH3])([CH3])c1c([OH1])c(C([CH3])([CH3])([CH3]))[cH]c([CH2]c2[cH][cH]c([OH1])cc2)[cH]1,[CH3]C([CH3])([CH3])c1[cH]c([CH2]c2ccc([OH])[cH][cH]2)[cH]c(C([CH3])([CH3])[CH3])c1[OH],Valid
557,27,Hydroquin_A,c1([OH1])ccc([OH1])c(c1)C(=!@C[#7])C=[OX1],NC=C(C=O)c1cc([OH])ccc1[OH],Valid
558,57,Misc_aminoacid_A,[CX4]c1[cH][cH]c(C(=[OX1])[N!H0][C!H0]([CH2][CH2]S[CH3])C(=[OX1])[OH1])[cH][cH]1,Cc1[cH][cH]c(C(=O)NC([CH2][CH2]S[CH3])C(=O)[OH])[cH][cH]1,Valid
559,59,Misc_anisole_C,[N!Ho](c1[cH][cH]c(O[CH3])c(O[C!H0])[cH]1)C(=[OX1])[N!H0][CH2][CH2][CH2]N([CH3])cc,COc1[cH]c(NC(=O)N[CH2][CH2][CH2]N([CH3])cc)[cH][cH]c1O[CH3],Valid
560,49,Misc_cyclopropane,C1([CH2][CH2]1)(C(=[OX1])[N!H0]c2ccc(O[CH2][#8])cc2)S(=[OX1])(=[OX1])-cc,ccS(=O)(=O)C1(C(=O)Nc2ccc(O[CH2]O)cc2)[CH2][CH2]1,Valid
561,49,Misc_naphthimidazole,"c1c2c(cc5c1cccc5)-,:[#7!H0]-,:[#6](=,:[#7]2)COC(=[OX1])c8cc(cc(c8)[NH2])[NH2]",[NH2]c1cc([NH2])cc(C(=O)OCC2=Nc3cc4ccccc4cc3N2)c1,Valid
562,40,Misc_stilbene,C1(cc)=C(cc)[CH2][C!H0](C(=[OX1])[#6])[C!H0](C(=[OX1])[OH1])[CH2]1,CC(=O)C1[CH2]C(cc)=C(cc)[CH2]C1C(=O)[OH],Valid
563,23,Misc_trityl_A,C(cc)(cc)(cc)SccC(=[OX1])[OH1],ccC(cc)(cc)SccC(=O)[OH],Valid
564,35,Imidazole_amino_A,n1c(c2ccccc2)c(c3ccccc3)n(N=!@[#6])c1[NH2],C=Nn1c([NH2])nc(c2ccccc2)c1c1ccccc1,Valid
565,39,Phenol_sulfite_A,C(c1ccc([OH1])cc1)(c2ccc([OH1])cc2)OS(=[OX1])=[OX1],O=S(=O)OC(c1ccc([OH])cc1)c1ccc([OH])cc1,Valid
566,25,Pyrazole_amino_B,"[#16]1-,:[#6]=,:[#6]-,:[#7]=,:[#6]1-[#6]6-,:[#6!H0]=,:[#7]-,:[#7!H0]-,:[#6]([NH2])=,:6",[NH2]C1=C(C2=NC=CS2)C=NN1,Valid
567,81,Misc_imidazole,"[C!H0](c1[cH][cH]c(Cl)[cH][cH]1)(c2[cH][cH]c(Cl)[cH][cH]2)O[CH2][CH2][CH2][#6]3-,:[#7]([CH3])-,:[#6!H0]=,:[#6!H0]-,:[#7]=,:3",[CH3]N1C=CN=C1[CH2][CH2][CH2]OC(c1[cH][cH]c(Cl)[cH][cH]1)c1[cH][cH]c(Cl)[cH][cH]1,Valid
568,22,Het_thio_N_5C,"cc[N!H0]C(=[OX1])[#6]1-,:[#7]=,:[#7]-,:[#16]-,:[#6]([N!H0]cc)=,:1",ccNC(=O)C1=C(Ncc)SN=N1,Valid
569,31,Valproic acid derivatives,[OH1][CX3](=[OX1])[CX4H1]([CX4H2]-C~[#6])([CX4H2]-C~[#6]),C~C[CH2][CH]([CH2]C~C)C(=O)[OH],Valid
570,5,Aziridines (HS),[#7R1]1-[#6R1]-[#6R1]-1,C1CN1,Valid
571,5,Oxiranes (HS),[#8R1]1-[#6R1]-[#6R1]-1,C1CO1,Valid
572,5,Thiiranes (HS),[#16X2R1]1-[#6R1]-[#6R1]-1,C1CS1,Valid
573,6,1H-Azirines (HS),[#7R1]1-[#6R1]=[#6R1]-1,C1=CN1,Valid
574,6,2H-Azirines (HS),[#7R1]1=[#6R1]-[#6R1]-1,C1=NC1,Valid
575,6,Oxirenes (HS),[#8R1]1-[#6R1]=[#6R1]-1,C1=CO1,Valid
576,6,Thiirenes (HS),[#16X2R1]1-[#6R1]=[#6R1]-1,C1=CS1,Valid
577,5,Diaziridines (HS),[#7R1]1-[#7R1]-[#6R1]-1,C1NN1,Valid
578,5,Dioxiranes (HS),[#8R1]1-[#8R1]-[#6R1]-1,C1OO1,Valid
579,5,Oxaziridines (HS),[#8R1]1-[#7R1]-[#6R1]-1,C1NO1,Valid
580,5,Thiaziridines (HS),[#16X2R1]1-[#7R1]-[#6R1]-1,C1NS1,Valid
581,6,1H-Diazirenes (HS),[#7R1]1-[#7R1]=[#6R1]-1,C1=NN1,Valid
582,6,3H-Diazirenes (HS),[#7R1]1=[#7R1]-[#6R1]-1,C1N=N1,Valid
583,6,Oxazirenes  (HS),[#7R1]1=[#6R1]-[#8R1]-1,C1=NO1,Valid
584,6,Thiazerenes  (HS),[#7R1]1=[#6R1]-[#16X2R1]-1,C1=NS1,Valid
585,5,Triaziridines (HS),[#7R1]1-[#7R1]-[#7R1]-1,N1NN1,Valid
586,5,Trioxiranes (HS),[#8R1]1-[#8R1]-[#8R1]-1,O1OO1,Valid
587,5,Trithiiranes (HS),[#16X2R1]1-[#16X2R1]-[#16X2R1]1,S1SS1,Valid
588,5,Oxadiaziridines (HS),[#8R1]1-[#7R1]-[#7R1]1,N1NO1,Valid
589,5,Dioxaziridines (HS),[#8R1]1-[#8R1]-[#7R1]1,N1OO1,Valid
590,5,Thiodiaziridines (HS),[#16X2R1]1-[#7R1]-[#7R1]1,N1NS1,Valid
591,5,Dithiaziridines (HS),[#16X2R1]1-[#16X2R1]-[#7R1]1,N1SS1,Valid
592,6,1H-Triazirene  (HS),[#7R1]1-[#7R1]=[#7R1]1,N1N=N1,Valid
593,6,Oxadiazirenes  (HS),[#7R1]1=[#7R1]-[#8R1]1,N1=NO1,Valid
594,6,Thiodiazirenes  (HS),[#7R1]1=[#7R1]-[#16X2R1]1,N1=NS1,Valid
595,6,Azetidines (HS),[#7R1]1-[#6R1]-[#6R1]-[#6R1]-1,C1CNC1,Valid
596,6,Oxetanes (HS),[#8R1]1-[#6R1]-[#6R1]-[#6R1]-1,C1COC1,Valid
597,6,Thietanes (HS),[#16X2R1]1-[#6R1]-[#6R1]-[#6R1]-1,C1CSC1,Valid
598,7,1-Azetines (HS),[#7R1]1=[#6R1]-[#6R1]-[#6R1]-1,C1=NCC1,Valid
599,7,2-Azetines (HS),[#7R1]1-[#6R1]=[#6R1]-[#6R1]-1,C1=CNC1,Valid
600,8,Azetes (HS),[#7R1]1=[#6R1][#6R1]=[#6R1]1,C1=CN=C1,Valid
601,7,Oxetenes (HS),[#8R1]1[#6R1]=[#6R1][#6R1]1,C1C=CO1,Valid
602,7,Thietenes (HS),[#16X2R1]1[#6R1]=[#6R1][#6R1]1,C1C=CS1,Valid
603,6,"1,2-Diazetidines (HS)",[NR1]1[CR1][CR1][NR1]1,C1CNN1,Valid
604,6,"1,3-Diazetidines (HS)",[NR1]1[CR1][NR1][CR1]1,C1NCN1,Valid
605,6,"1,2-Dioxetanes (HS)",[OR1]1[OR1][CR1][CR1]1,C1COO1,Valid
606,6,"1,3-Dioxetanes (HS)",[OR1]1[CR1][OR1][CR1]1,C1OCO1,Valid
607,6,"1,2-Dithietanes (HS)",[SX2R1]1[SX2R1][CR1][CR1]1,C1CSS1,Valid
608,6,"1,3-Dithietanes (HS)",[SX2R1]1[CR1][SX2R1][CR1]1,C1SCS1,Valid
609,7,Dioxetenes (HS),"[#8R1]1-,:[#8R1]-,:[#6R1]=,:[#6R1]-,:1",C1=COO1,Valid
